Diagnóstico principal (CIE9MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
249-250 Diabetes mellitus;Mujeres;Total Nacional;10 Comunitat Valenciana;46 Valencia/València;688
249-250 Diabetes mellitus;Mujeres;Total Nacional;11 Extremadura;;257
249-250 Diabetes mellitus;Mujeres;Total Nacional;11 Extremadura;06 Badajoz;179
249-250 Diabetes mellitus;Mujeres;Total Nacional;11 Extremadura;10 Cáceres;78
249-250 Diabetes mellitus;Mujeres;Total Nacional;12 Galicia;;742
249-250 Diabetes mellitus;Mujeres;Total Nacional;12 Galicia;15 Coruña, A;278
249-250 Diabetes mellitus;Mujeres;Total Nacional;12 Galicia;27 Lugo;91
249-250 Diabetes mellitus;Mujeres;Total Nacional;12 Galicia;32 Ourense;99
249-250 Diabetes mellitus;Mujeres;Total Nacional;12 Galicia;36 Pontevedra;274
249-250 Diabetes mellitus;Mujeres;Total Nacional;13 Madrid, Comunidad de;;1.157
249-250 Diabetes mellitus;Mujeres;Total Nacional;14 Murcia, Región de;;386
249-250 Diabetes mellitus;Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;;144
249-250 Diabetes mellitus;Mujeres;Total Nacional;16 País Vasco;;539
249-250 Diabetes mellitus;Mujeres;Total Nacional;16 País Vasco;01 Araba/Álava;105
249-250 Diabetes mellitus;Mujeres;Total Nacional;16 País Vasco;48 Bizkaia;260
249-250 Diabetes mellitus;Mujeres;Total Nacional;16 País Vasco;20 Gipuzkoa;174
249-250 Diabetes mellitus;Mujeres;Total Nacional;17 Rioja, La;;132
249-250 Diabetes mellitus;Mujeres;Total Nacional;18 Ceuta;;32
249-250 Diabetes mellitus;Mujeres;Total Nacional;19 Melilla;;33
